id,base_id,addresses,base_addresses
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,"[{""freeform"":""7643 Gate Pkwy"",""locality"":""Jacksonville"",""postcode"":""32256-2892"",""region"":""FL"",""country"":""US""}]","[{""freeform"":""7643 Gate Pkwy Ste 104"",""locality"":""Jacksonville"",""region"":""FL"",""country"":""US"",""postcode"":""32256""}]"
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,"[{""freeform"":""Mazda Nelspruit, 49 Emnotweni Avenue"",""locality"":""Riverside Park"",""postcode"":""1201"",""region"":""MP"",""country"":""ZA""}]","[{""freeform"":""49 Emnotweni Avenue"",""locality"":""Mbombela"",""region"":"""",""country"":""ZA"",""postcode"":""1201""}]"
1407374885933937,844424932146366,"[{""freeform"":""875 Mansell Rd B1"",""locality"":""Roswell"",""region"":""GA"",""country"":""US"",""postcode"":""30076""}]","[{""freeform"":""875 Mansell Rd Ste B1"",""locality"":""Roswell"",""region"":""GA"",""country"":""US"",""postcode"":""30076""}]"
08f3956260b9e14003feca2bf0764d0c,1407374887472291,"[{""freeform"":""Carrer del Rei Jaume I, 9"",""locality"":""Finestrat"",""postcode"":""03509"",""country"":""ES""}]","[{""freeform"":""Calle Rei Jaume I 9"",""locality"":""Alicante"",""region"":""Alacant"",""country"":""ES"",""postcode"":""03509""}]"
1125899912143279,1407374890190043,"[{""freeform"":""43821 Shady Crk"",""locality"":""Temecula"",""region"":""CA"",""country"":""US"",""postcode"":""92590""}]","[{""freeform"":""43821 Shady Creek"",""locality"":""Temecula"",""region"":""CA"",""country"":""US"",""postcode"":""92590""}]"
08f3950d1d5a6bae03a09c30bbb17406,1407374890671707,"[{""freeform"":""Avenida de Oliva"",""locality"":""Alicante"",""postcode"":""03780"",""country"":""ES""}]","[{""freeform"":""Avenida de Oliva S/n, Pego"",""locality"":""Alicante"",""region"":"""",""country"":""ES"",""postcode"":""03780""}]"
08f44e8346794333033a01eb53999680,1407374890864242,"[{""freeform"":""790 Montgomery Hwy"",""locality"":""Vestavia Hills"",""postcode"":""35216-1872"",""region"":""AL"",""country"":""US""}]","[{""freeform"":""790 Montgomery Highway Ste 106"",""locality"":""vestavia hills"",""region"":""AL"",""country"":""US"",""postcode"":""35216""}]"
08f2ab2c4b89449a03e88d9391424fd1,562949961699505,"[{""freeform"":""2556 Central Ave Unit B"",""postcode"":""N8W 4J5"",""country"":""CA""}]","[{""freeform"":""2556 Central Avenue, Unit B"",""locality"":""Windsor"",""region"":""ON"",""country"":""CA"",""postcode"":""N8W 4J5""}]"
1970324842101934,1970324842430502,"[{""freeform"":""4640 N Southside Plaza St"",""locality"":""Richmond"",""region"":""VA"",""country"":""US"",""postcode"":""23224""}]","[{""freeform"":""4740 S E Southside Plaza"",""locality"":""Richmond"",""region"":""VA"",""country"":""US"",""postcode"":""23224""}]"
1125899912492752,562949957705495,"[{""freeform"":""100 Fleet St"",""locality"":""Pittsburgh"",""region"":""PA"",""country"":""US"",""postcode"":""15220""}]","[{""freeform"":""100 Fleet St Ste 103"",""locality"":""Pittsburgh"",""region"":""PA"",""country"":""US"",""postcode"":""15220""}]"
08f2659a2d05a4b103cc0338dfb94fa1,1407374886155785,"[{""freeform"":""4615 Poplar Ave"",""locality"":""Memphis"",""postcode"":""38117-4400"",""region"":""TN"",""country"":""US""}]","[{""freeform"":""4615 Poplar Ave 12"",""locality"":""Memphis"",""region"":""TN"",""country"":""US"",""postcode"":""38117""}]"
08f2a8c10a6a681003edc1e418ee0a32,562949965568735,"[{""freeform"":""120 7th St NE"",""locality"":""Charlottesville"",""postcode"":""22902-5392"",""region"":""VA"",""country"":""US""}]","[{""freeform"":""120 7th St NE Ste 122"",""locality"":""Charlottesville"",""region"":""VA"",""country"":""US"",""postcode"":""22902""}]"
08f1f1a9ab72151e0395f93e968c61b9,1407374889539614,"[{""freeform"":""Volkmannstraße 19"",""locality"":""Halle (Saale)"",""postcode"":""06112"",""country"":""DE""}]","[{""freeform"":""Volkmannstr. 19"",""locality"":""Halle (Saale)"",""region"":""Saxony-Anhalt"",""country"":""DE"",""postcode"":""06112""}]"
281474979329236,562949965387375,"[{""freeform"":""3115 W Parker Rd Ste 270"",""locality"":""Plano"",""region"":""TX"",""country"":""US"",""postcode"":""75023""}]","[{""freeform"":""3115 W Parker Rd 270"",""locality"":""Plano"",""region"":""TX"",""country"":""US"",""postcode"":""75023""}]"
08f26567197a3b3603beda847a81c35f,1125899911053810,"[{""freeform"":""8101 College Blvd"",""locality"":""Overland Park"",""postcode"":""66210-1978"",""region"":""KS"",""country"":""US""}]","[{""freeform"":""8101 College Blvd Ste 100"",""locality"":""Overland Park"",""region"":""KS"",""country"":""US"",""postcode"":""66210""}]"
08f266d4a16a03ab0311ad6f84dc7077,1125899910428742,"[{""freeform"":""3600 Chamberlain Ln"",""locality"":""Louisville"",""postcode"":""40241-1914"",""region"":""KY"",""country"":""US""}]","[{""freeform"":""2304 Ralph Ave"",""locality"":""Louisville"",""region"":""KY"",""country"":""US"",""postcode"":""40216""}]"
08f44c021830026803d17bc7c5fb545d,562949961777702,"[{""freeform"":""106 Walmart Dr"",""locality"":""Eatonton"",""postcode"":""31024-6762"",""region"":""GA"",""country"":""US""}]","[{""freeform"":""102 Walmart Dr"",""locality"":""Eatonton"",""region"":""GA"",""country"":""US"",""postcode"":""31024""}]"
08f2a100d8654204037ff5b80140ed5d,562949963912237,"[{""freeform"":""1320 Fulton St"",""locality"":""Brooklyn"",""postcode"":""11216-2101"",""region"":""NY"",""country"":""US""}]","[{""freeform"":""1320 Fulton St."",""locality"":""Brooklyn"",""region"":""NY"",""country"":""US"",""postcode"":""11216""}]"
08f2e614569a86580306294dc87fd829,08f2e614569ab00003e1b072e293ad1b,"[{""freeform"":""京都市上京区京都御苑3 (3Kyotogyoen, Kamigyo Ward, Kyoto)nn"",""locality"":""Kyoto-shi"",""region"":""26"",""country"":""JP""}]","[{""freeform"":""京都府京都市上京区京都御苑３"",""locality"":""京都市上京区"",""postcode"":""602-0881"",""country"":""JP""}]"
08f1f916e27045180352f04913bc42cc,08f1f916e27154190345b56b0486a3a7,"[{""freeform"":""11 Rue Doppet"",""postcode"":""73000"",""country"":""FR""}]","[{""freeform"":""1 Place de Genève"",""locality"":""Chambéry"",""postcode"":""73000"",""country"":""FR""}]"
08f446c24248389c03f8f8dbd8576f9f,562949963667295,"[{""freeform"":""25415 Interstate 45"",""locality"":""Spring"",""postcode"":""77380-3504"",""region"":""TX"",""country"":""US""}]","[{""freeform"":""25415 Interstate 45, Ste D"",""locality"":""Spring"",""region"":""TX"",""country"":""US"",""postcode"":""77380""}]"
08f3da11a880352a03e1b552a441aa16,08f3da11a881c3a4036450111f6f44b4,"[{""freeform"":""Signature Tower Crossing, Near Star Mall, Main, Delhi - Jaipur Expy, Sector 30, Gurugram, Haryana 122001"",""locality"":""Gurugram"",""postcode"":""122001"",""country"":""IN""}]","[{""freeform"":""SIGNATURE TOWER, crossing, Delhi - Jaipur Expy"",""postcode"":""122001"",""country"":""IN""}]"
08f1e33450db537303a4d343dac8ccdc,844424934132353,"[{""freeform"":""Kurhotel Bad Zell, Kurhausstraße 9"",""locality"":""Bad Zell"",""postcode"":""4283"",""region"":""4"",""country"":""AT""}]","[{""freeform"":""Kurhausstraße 9, Bad Zell"",""locality"":""Bad Zell"",""region"":"""",""country"":""AT"",""postcode"":""4283""}]"
08f2af62655ad02303c1c002aed33a25,1407374888662920,"[{""freeform"":""3300 Princess Anne Rd"",""locality"":""Virginia Beach"",""postcode"":""23456-2603"",""region"":""VA"",""country"":""US""}]","[{""freeform"":""3300 Princess Anne Rd Ste 739"",""locality"":""Virginia Beach"",""region"":""VA"",""country"":""US"",""postcode"":""23456""}]"
08f269614b65270a03cda656d6a2aa1f,2251799819345911,"[{""freeform"":""2550 S Decker Lake Blvd"",""locality"":""West Valley City"",""postcode"":""84119-2066"",""region"":""UT"",""country"":""US""}]","[{""freeform"":""2550 S Decker lake Blvd Ste 1"",""locality"":""Salt Lake City"",""region"":""UT"",""country"":""US"",""postcode"":""84119""}]"
1407374891495088,562949956622481,"[{""freeform"":""Unit 28, Kennedy Centre, Falls Road"",""locality"":""Belfast"",""region"":"""",""country"":""GB"",""postcode"":""BT11 9AE""}]","[{""freeform"":""Kennedy Centre, Falls Road, Unit 28"",""locality"":""Belfast"",""region"":"""",""country"":""GB"",""postcode"":""BT11 9AE""}]"
08f1e9a009660cb00355eadd4822414d,2251799821009277,"[{""freeform"":""Via Ugo La Malfa, 7"",""locality"":""Palermo"",""postcode"":""90146"",""region"":""82"",""country"":""IT""}]","[{""freeform"":""Via Ugo La Malfa 7"",""locality"":""Palermo"",""region"":""PA"",""country"":""IT"",""postcode"":""90134""}]"
08f28d1aacab0c5503f03bc3cacd7057,281474977479849,"[{""freeform"":""760 Yates St"",""locality"":""Victoria"",""postcode"":""V8W 1L4"",""region"":""BC"",""country"":""CA""}]","[{""freeform"":""760-B Yates St"",""locality"":""Victoria"",""region"":""BC"",""country"":""CA"",""postcode"":""V8W 1L4""}]"
562949960007229,844424932283258,"[{""freeform"":""115 Country Music Way"",""locality"":""Bristol"",""region"":""VA"",""country"":""US"",""postcode"":""24201""}]","[{""freeform"":""510 Birthplace Of Country Music Way"",""locality"":""Bristol"",""region"":""VA"",""country"":""US"",""postcode"":""24201""}]"
08f44aeb866480e903682149449f77ac,1407374891210304,"[{""freeform"":""3101 PGA Blvd"",""locality"":""Palm Beach Gardens"",""postcode"":""33410-2786"",""region"":""FL"",""country"":""US""}]","[{""freeform"":""Gardens Mall, G-119 Pga Boulevard 3101"",""locality"":""Palm Beach Gardens"",""region"":""FL"",""country"":""US"",""postcode"":""33410""}]"
08f26c86642125b4031326f6a64ebbd6,281474978078859,"[{""freeform"":""14902 Preston Rd"",""locality"":""Dallas"",""postcode"":""75254"",""region"":""TX"",""country"":""US""}]","[{""freeform"":""14902 Preston Rd 404"",""locality"":""Dallas"",""region"":""TX"",""country"":""US"",""postcode"":""75254""}]"
08f44d0b21db402403ebbb87ae0839ba,1970324839897929,"[{""freeform"":""97 Sea Island Pkwy., Ste 203"",""locality"":""Lady's Island"",""postcode"":""29907"",""region"":""SC"",""country"":""US""}]","[{""freeform"":""97 Sea Island Pkwy Ste 203"",""locality"":""Beaufort"",""region"":""SC"",""country"":""US"",""postcode"":""29907""}]"
08f26c80c458a69603342e20e86d7561,1125899912956834,"[{""freeform"":""900 South Preston Road Suite 30"",""locality"":""Prosper"",""postcode"":""75078"",""region"":""TX"",""country"":""US""}]","[{""freeform"":""900 S Preston Rd Ste 30"",""locality"":""Prosper"",""region"":""TX"",""country"":""US"",""postcode"":""75078""}]"
08f48985149b118b03d1267c20902c8b,562949965310773,"[{""freeform"":""251 N Bell Blvd"",""locality"":""Cedar Park"",""postcode"":""78613-2901"",""region"":""TX"",""country"":""US""}]","[{""freeform"":""251 N Bell Blvd Ste 110"",""locality"":""Cedar Park"",""region"":""TX"",""country"":""US"",""postcode"":""78613""}]"
08f3f623a4116d4903fe879fe705b16c,08f3f623a4ceb80303013d8aefd1a964,"[{""freeform"":""Bitez Belediyesi Eski Kademe"",""postcode"":""48400"",""country"":""TR""}]","[{""country"":""TR""}]"
08f29a1baeb2832203e9d467f859f591,1970324837157532,"[{""freeform"":""6593 Collins Dr"",""locality"":""Moorpark"",""postcode"":""93021-1472"",""region"":""CA"",""country"":""US""}]","[{""freeform"":""6593 Collins Dr Ste D-10"",""locality"":""Moorpark"",""region"":""CA"",""country"":""US"",""postcode"":""93021""}]"
08f2ad682055ca30031a560f16b833f7,562949956479298,"[{""freeform"":""11294 Us 70 Business Hwy W"",""locality"":""Clayton"",""postcode"":""27520"",""region"":""NC"",""country"":""US""}]","[{""freeform"":""11928 Us Hwy 70 W"",""locality"":""Clayton"",""region"":""NC"",""country"":""US"",""postcode"":""27520""}]"
08f2b99319ba884303b7c209761f4881,1407374884932188,"[{""freeform"":""268 Winton Rd N"",""locality"":""Rochester"",""postcode"":""14610-1238"",""region"":""NY"",""country"":""US""}]","[{""freeform"":""268 N Winton Rd"",""locality"":""Rochester"",""region"":""NY"",""country"":""US"",""postcode"":""14610""}]"
08f44c172aba3061037c50a9d048d1eb,562949966622320,"[{""freeform"":""150 Athens Hwy"",""locality"":""Loganville"",""postcode"":""30052-2200"",""region"":""GA"",""country"":""US""}]","[{""freeform"":""150 Athens Highway Ste 500"",""locality"":""Loganville"",""region"":""GA"",""country"":""US"",""postcode"":""30052""}]"
08f61ab71132610d03372ca4b1fb884a,1970324841465127,"[{""freeform"":""66 Lawrence Road"",""locality"":""Cuddalore"",""postcode"":""607002"",""country"":""IN""}]","[{""freeform"":""No.75, Lawrence Road, Opposite to Bus Stand, Muthaiya Nagar, Thirupapuliyur"",""locality"":""Cuddalore"",""region"":""Tamil Nadu"",""country"":""IN"",""postcode"":""607002""}]"
08f27592c10d2d650338beb892e9fd00,1407374883757705,"[{""freeform"":""27554 Maecliff Dr S"",""locality"":""Warrenville"",""postcode"":""60555-2934"",""region"":""IL"",""country"":""US""}]","[{""freeform"":""27554 Maecliff Dr"",""locality"":""Warrenville"",""region"":""IL"",""country"":""US"",""postcode"":""60555""}]"
08f1f8c261c63d18034bc43e16fabed6,562949965872426,"[{""freeform"":""Haunstetter Straße 258"",""locality"":""Augsburg"",""postcode"":""86179"",""country"":""DE""}]","[{""freeform"":""Haunstetterstr. 258"",""locality"":""Augsburg"",""region"":""Bavaria"",""country"":""DE"",""postcode"":""86179""}]"
844424933664824,844424934717048,"[{""freeform"":""Via Castelleone, 136"",""locality"":""Cremona"",""region"":""CR"",""country"":""IT"",""postcode"":""26100""}]","[{""freeform"":""Via Castelleone 136"",""locality"":""Cremona"",""region"":""CR"",""country"":""IT"",""postcode"":""26100""}]"
08f195b614a70ba603c3acc5ff81ea94,1688849864156812,"[{""freeform"":""38 Fore Street"",""locality"":""Torquay"",""postcode"":""TQ1 4LX"",""region"":""ENG"",""country"":""GB""}]","[{""freeform"":""38 Fore Street, St Marychurch"",""locality"":""Torquay"",""region"":"""",""country"":""GB"",""postcode"":""TQ1 4LX""}]"
08f392a846b9ead903aeffd974246bd5,562949958596550,"[{""freeform"":""Calle Labradores, 4"",""locality"":""Medina del Campo"",""postcode"":""47400"",""country"":""ES""}]","[{""freeform"":""Calle de Labradores, 4, LOCAL"",""locality"":""Medina del Campo"",""region"":""Valladolid"",""country"":""ES"",""postcode"":""47400""}]"
08f44cc2ed92b4ad037ec09a5c0f7c76,1125899910607136,"[{""freeform"":""305 Cedar Ln"",""locality"":""Fort Oglethorpe"",""postcode"":""30742-3361"",""region"":""GA"",""country"":""US""}]","[{""freeform"":""305 S Cedar Lane"",""locality"":""Fort Oglethorpe"",""region"":""GA"",""country"":""US"",""postcode"":""30742""}]"
08f618c4c6d826e803b8e71b07951b00,1688849864517960,"[{""freeform"":""Unit No 2, Ground Floor, Phase 1, Cmrl, Ashok Nagar, Near ESI"",""locality"":""Chennai"",""postcode"":""600083"",""region"":""Tamil Nadu"",""country"":""IN""}]","[{""freeform"":""Unit No 2, Ground Floor, Phase 1, Cmrl, Ashok Nagar"",""locality"":""Chennai"",""region"":""Tamil Nadu"",""country"":""IN"",""postcode"":""600083""}]"
08f1f02580711558032beb326920b8cf,1970324838928644,"[{""freeform"":""Von-Eichendorff-Straße 28"",""locality"":""Adendorf"",""postcode"":""21365"",""country"":""DE""}]","[{""freeform"":""Von-Eichendorff-Str. 28"",""locality"":""Adendorf"",""region"":""Niedersachsen"",""country"":""DE"",""postcode"":""21365""}]"
08f1951b4b8939820392d42fadf7bf37,562949959929615,"[{""freeform"":""Countess Ave"",""postcode"":""SK8 6QS"",""country"":""GB""}]","[{""freeform"":""Countess Avenue, Cheadle Hulme"",""locality"":""Handforth"",""region"":"""",""country"":""GB"",""postcode"":""SK8 6QS""}]"
08f344cd2aca0481032c090f1adc9a67,1970324841290328,"[{""freeform"":""Calle Girasol, 13"",""locality"":""Santa Cruz de Tenerife"",""postcode"":""38107"",""region"":""CN"",""country"":""ES""}]","[{""freeform"":""Calle Girasol 15"",""locality"":""Santa Cruz de Tenerife"",""region"":"""",""country"":""ES"",""postcode"":""38107""}]"
