id,base_id,phones,base_phones
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,"[""+19049989600""]","[""9049989600""]"
08f29a456e42e5830324637954145c50,1125899907111860,"[""+16194474353""]","[""6194474353""]"
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,"[""+27137573800""]","[""0137573800""]"
08f3956260b9e14003feca2bf0764d0c,1407374887472291,"[""+34966803254""]","[""966803254""]"
08f1969a93ad194003d9ba6cd9e59cbc,1407374890303749,"[""+31318255062""]","[""0318255062""]"
08f3950d1d5a6bae03a09c30bbb17406,1407374890671707,"[""+34966400784""]","[""966400784""]"
08f48d621e8c9db103fd54168e9fe11c,1125899912129300,"[""+15753939827""]","[""5753939827""]"
08f44e8346794333033a01eb53999680,1407374890864242,"[""+12057470443""]","[""2057470443""]"
08f2ab2c4b89449a03e88d9391424fd1,562949961699505,"[""+14375517377""]","[""4164094360""]"
1970324842101934,1970324842430502,"[""8042327880""]","[""8045480798""]"
08f281334dcd60a303d3ca8e7eff2b77,562949957672973,"[""+15418853166""]","[""5418853166""]"
08f44e554128900503a7df0284a7d549,1407374891438357,"[""+18502004040""]","[""8502004040""]"
08f2659a2d05a4b103cc0338dfb94fa1,1407374886155785,"[""+19014215785""]","[""9014215785""]"
08f2a1054d2dd7b003431719d93037ed,1125899907096133,"[""+12012261560""]","[""2012261560""]"
08f2986a82c92b5003309ff5c3c715bf,562949965577447,"[""+17253030086""]","[""7253030086""]"
08f2a8c10a6a681003edc1e418ee0a32,562949965568735,"[""+14349703250""]","[""4349703250""]"
08f44c2011985b0e030204dcf297b66d,1970324839341272,"[""+17063609400""]","[""7063030945""]"
08f1f1a9ab72151e0395f93e968c61b9,1407374889539614,"[""+493455126523""]","[""03455126523""]"
08f44e06aa0b5a4a03caf2e60bd69a4a,1125899911371512,"[""2296718791""]","[""2295154079""]"
08f1faea1a71d7250355b13ab53cefdb,844424932430088,"[""+496926495455""]","[""06926495455""]"
08f26567197a3b3603beda847a81c35f,1125899911053810,"[""+19135797533""]","[""9135797533""]"
1125899912260220,562949959086888,"[""8556591656""]","[""8004532265""]"
08f266d4a16a03ab0311ad6f84dc7077,1125899910428742,"[""+15026532417""]","[""5026532417""]"
08f44c021830026803d17bc7c5fb545d,562949961777702,"[""+17622212202""]","[""7622212202""]"
08f2a100d8654204037ff5b80140ed5d,562949963912237,"[""+19175402098""]","[""9175402098""]"
08f1ea4c402c36690356e3ca028ae6f9,1125899910260202,"[""+390454500300""]","[""3516989156""]"
08f274864eb8c0f30307c49f06635d20,1970324838811072,"[""+12693736440""]","[""2693736440""]"
08f1f916e27045180352f04913bc42cc,08f1f916e27154190345b56b0486a3a7,"[""+33155215840""]","[""+33825020020""]"
08f44a18511700c5039a1e230fdc197c,1407374890168896,"[""+13055987004""]","[""3055987004""]"
08f446c24248389c03f8f8dbd8576f9f,562949963667295,"[""+12816728093""]","[""2816728093""]"
08f3da11a880352a03e1b552a441aa16,08f3da11a881c3a4036450111f6f44b4,"[""+919382222227""]","[""+919315222227""]"
08f1e33450db537303a4d343dac8ccdc,844424934132353,"[""+4372636365""]","[""072636365""]"
08f2af62655ad02303c1c002aed33a25,1407374888662920,"[""+17578664652""]","[""7578664652""]"
08f2664c9939219403dbde16d5780a75,844424930437611,"[""+17084849060""]","[""7084849060""]"
08f269614b65270a03cda656d6a2aa1f,2251799819345911,"[""+18017380378""]","[""8017380378""]"
08f1f2d6b121bae9037c5aa065d85015,1688849866346166,"[""+46104513302""]","[""0104513302""]"
281474977374045,844424931551851,"[""6034248245""]","[""""]"
08f2a101ab4a4d6603318d4b9c6dea88,1970324839219910,"[""+19147931458""]","[""9147931458""]"
1125899909415294,1407374887700826,"[""6133897900""]","[""6132239868""]"
08f1e9a009660cb00355eadd4822414d,2251799821009277,"[""+390916255912""]","[""0916255912""]"
2251799821514759,844424932099356,"[""7243486229""]","[""7243484051""]"
08f28d1aacab0c5503f03bc3cacd7057,281474977479849,"[""+12505901202""]","[""2505901202""]"
08f44e37039615310322ab3480bdd8e9,562949957104673,"[""+12299954960""]","[""2299954960""]"
1407374886990716,1407374889128899,"[""2149347159""]","[""8442923296""]"
08f29a5498484496037471212e5b1e6b,1407374886675280,"[""+19495583892""]","[""9495583892""]"
08f44aeb866480e903682149449f77ac,1407374891210304,"[""+15616936592""]","[""5616936592""]"
08f26e51040a94ee0300548c32b817b1,562949962901747,"[""+17852731106""]","[""7852731106""]"
08f26c86642125b4031326f6a64ebbd6,281474978078859,"[""+12143068714""]","[""2143068714""]"
1125899908351517,562949961705252,"[""7705053855""]","[""4706448140""]"
08f1f830f49208e3032af3d05c24923a,562949965420551,"[""+41629623722""]","[""0629623722""]"
08f48985149b118b03d1267c20902c8b,562949965310773,"[""+17378029651""]","[""7378029651""]"
08f2a845462cab2e03f8a9075a562e04,1125899911662556,"[""+17246251414""]","[""7246251414""]"
08f29a1baeb2832203e9d467f859f591,1970324837157532,"[""+18058348742""]","[""8055770926""]"
08f1f8eadc596c5a0319a1d657ac47cf,281474980495873,"[""+4355138640""]","[""055138640""]"
08f1f88243665d18033b4f1690be86cc,562949959799250,"[""+43524499870""]","[""0524499870""]"
08f2b99319ba884303b7c209761f4881,1407374884932188,"[""+15854820870""]","[""5854820870""]"
08f2a122b34060f1033f6a3fcca4ddb0,1125899907901154,"[""+12155292720""]","[""2155292720""]"
08f44c172aba3061037c50a9d048d1eb,562949966622320,"[""+17706251194""]","[""7706251194""]"
08f61ab71132610d03372ca4b1fb884a,1970324841465127,"[""+914443666666""]","[""04443666666""]"
08f27592c10d2d650338beb892e9fd00,1407374883757705,"[""+16308362960""]","[""6308362960""]"
08f2a9396326e44303a5099d3abe75d9,1970324842083462,"[""+19373833810""]","[""9373833810""]"
08f1f8c261c63d18034bc43e16fabed6,562949965872426,"[""+4982144945330""]","[""082144945330""]"
08f48ebb4851970903f9e70e6c491185,1407374886832278,"[""+14807053230""]","[""8333467029""]"
08f28f01514b200203d6fc2e65ce45d4,1407374890526178,"[""+15033502700""]","[""5033502700""]"
08f195b614a70ba603c3acc5ff81ea94,1688849864156812,"[""+441803494001""]","[""01803494001""]"
08f48c612b131001031729a1c1fbb5ca,562949964151923,"[""+16784359604""]","[""6784359604""]"
08f2aa6ce15a18c903e7ee69db302e3e,1407374885732897,"[""7166878400""]","[""7168053244""]"
08f392a846b9ead903aeffd974246bd5,562949958596550,"[""+34983811434""]","[""983811434""]"
08f2830821b736ce03f60c9e1b6174d5,562949958698981,"[""+14153300270""]","[""4153300290""]"
08f44cc2ed92b4ad037ec09a5c0f7c76,1125899910607136,"[""+14233219573""]","[""4233219573""]"
08f1f8024966ac5d03c852ff651223e4,844424934950831,"[""+4976129583""]","[""076129583""]"
08f29a0ade58944c0388ba4b6839fe2d,1688849863196251,"[""+19096210636""]","[""9096210636""]"
08f1f02580711558032beb326920b8cf,1970324838928644,"[""+494131220471""]","[""04131187875""]"
08f1951b4b8939820392d42fadf7bf37,562949959929615,"[""+441614861417""]","[""01614861417""]"
08f344cd2aca0481032c090f1adc9a67,1970324841290328,"[""+34922660804""]","[""922660804""]"
1407374888884529,562949957120804,"[""05113946245""]","[""05112282289""]"
08f2681a31808050037d5e7ecf9e1b01,1407374886265475,"[""+13034433250""]","[""7209070926""]"
1407374890726489,1970324838513648,"[""8134714444""]","[""8137377361""]"
1970324842205440,562949955117749,"[""9194579230""]","[""9195616211""]"
08f44c12058099550328ef145a684512,1407374891446092,"[""+14702234909""]","[""4702234909""]"
08f27418ead55b2203bbea6c6321ba6c,1970324838758800,"[""+12316330432""]","[""2316330432""]"
08f194e39611330b031433f11d58b7da,562949959977291,"[""+441245968877""]","[""01245968877""]"
08f1f02063cd996b03253b5a992c8fbc,562949962215382,"[""+493853269550""]","[""03853269550""]"
08f2a13505571adc03d6ac7c08745d28,1125899912398303,"[""+12157500110""]","[""2157500110""]"
08f12db7756486da03e71a795e1b150a,281474980481123,"[""+15095702157""]","[""5095702157""]"
1688849860470200,562949957672389,"[""6077973527""]","[""6077973407""]"
08f2a30c5954d37503e2262ea4b83745,1125899906946336,"[""+16039262885""]","[""6039262885""]"
08f266cc5d0a2cdb0318bd952ce12ad9,1407374889751469,"[""8123721133""]","[""2606735099""]"
08f29a199eaf25a603a95d490f36ddce,1125899910310972,"[""+13107347556""]","[""3107347556""]"
08f29a5792d46a5d0335edaa218f3095,1407374885860410,"[""+17142438572""]","[""8332608211""]"
08f2a930f0835c9d039f113beff6647f,1407374889501649,"[""+15134525103""]","[""5134525103""]"
08f2e74a50d2900003b56d9aa022a3b6,562949964821720,"[""+81274702788""]","[""0274702788""]"
08f266dad34a453403895be31ff7113a,562949964741889,"[""+18592779435""]","[""8592779435""]"
08f1958c2b10c541038aee2bfe17b7a0,1407374889554333,"[""07778167829""]","[""01432277114""]"
08f2640d0e5ae55d03f4bf0c75e365cd,1970324841284526,"[""+16186560490""]","[""6186560490""]"
08f26cc2f2b032ce03a3f4ff67b6eea7,1125899912484626,"[""+15809249304""]","[""5809249304""]"
08f39540a8951551033cd5c0b522f9b6,1688849863718528,"[""+34960830875""]","[""960830875""]"
08f2a336124e17040373939b45bed74c,562949958464804,"[""+18608896163""]","[""8608896163""]"
08f2b9aa6cd83dac03aaf49b2b35ae57,1407374888497995,"[""+19058983320""]","[""9058983320""]"
1407374890120053,844424932994052,"[""8333603417""]","[""6516441089""]"
